Date,NVDA
2015-01-05,-0.016890193843651313
2015-01-06,-0.030318192069917038
2015-01-07,-0.0026055373347205757
2015-01-08,0.037617336812046265
2015-01-09,0.0040281818271639125
2015-01-12,-0.012537556834675945
2015-01-13,-0.0015236495231444325
2015-01-14,0.004069223416840018
2015-01-15,-0.007092249447419041
2015-01-16,0.018367434353049994
2015-01-20,0.0030060157023612533
2015-01-21,0.013985927660188358
2015-01-22,0.01724153436368092
2015-01-23,0.0029059332000418436
2015-01-26,-0.004346419746097729
2015-01-27,-0.04801137925802945
2015-01-28,-0.016301767690826696
2015-01-29,0.024339636620705374
2015-01-30,-0.029322361384909623
2015-02-02,0.02187470488624288
2015-02-03,0.0249748612606171
2015-02-04,0.002486091578357774
2015-02-05,0.016369102621155873
2015-02-06,-0.004392120040250025
2015-02-09,-0.000980312120713478
2015-02-10,0.02796841349255197
2015-02-11,-0.006682506911384611
2015-02-12,0.0716000481961101
2015-02-13,0.000448644565464118
2015-02-17,0.0031374336436291728
2015-02-18,-0.011617733935913588
2015-02-19,0.0027127621766909193
2015-02-20,0.0072137894489061605
2015-02-23,-0.00805736102803345
2015-02-24,0.010645397392227363
2015-02-25,-0.007619805149651215
2015-02-26,0.0027097493758423408
2015-02-27,-0.006305958991371985
2015-03-02,0.02447853949784018
2015-03-03,-0.01858435738581199
2015-03-04,0.011271361723152129
2015-03-05,0.019170874487687284
2015-03-06,-0.01356048364707585
2015-03-09,0.002660700599587562
2015-03-10,0.017249043391704078
2015-03-11,-0.005217502062258017
2015-03-12,-0.00917819311838819
2015-03-13,0.001323472015213767
2015-03-16,0.01189441477853026
2015-03-17,0.012189134416127345
2015-03-18,-0.016343658691077012
2015-03-19,0.015303963087692773
2015-03-20,0.0107660973054442
2015-03-23,-0.03238154897530332
2015-03-24,-0.013650266292848157
2015-03-25,-0.06071439735667428
2015-03-26,-0.0033272240734240066
2015-03-27,0.019552005429493535
2015-03-30,0.004209747157095656
2015-03-31,-0.025151674920986133
2015-04-01,0.003822189005898702
2015-04-02,0.002379713306197573
2015-04-06,0.028965292638275963
2015-04-07,0.008767877438341065
2015-04-08,0.007318931654656691
2015-04-09,0.023161150250383233
2015-04-10,0.010208351225092116
2015-04-13,-0.009226476621098989
2015-04-14,-0.008425716484899537
2015-04-15,0.012074836989147464
2015-04-16,-0.006186684043846036
2015-04-17,-0.012894423033318336
2015-04-20,-0.004954912933763822
2015-04-21,-0.0013577737081156283
2015-04-22,0.011332557475957072
2015-04-23,-0.004033929681661941
2015-04-24,-0.008551073432977785
2015-04-27,0.007716653071043966
2015-04-28,0.004955135841874236
2015-04-29,-0.007619805149651215
2015-04-30,0.0027097493758423408
2015-05-01,0.024774899030985065
2015-05-04,-0.006153724008507222
2015-05-05,-0.025652510490791536
2015-05-06,0.0031773661016480936
2015-05-07,0.017646879031551155
2015-05-08,-0.07381035129392555
2015-05-11,-0.009601227565925075
