Date,ALGN
2015-01-05,0.014056955601472243
2015-01-06,0.008071575204856796
2015-01-07,0.036901634529696414
2015-01-08,0.03139162231768888
2015-01-09,0.018554740068794873
2015-01-12,0.009427873452024116
2015-01-13,-0.008231702677522601
2015-01-14,-0.025379092000997083
2015-01-15,-0.02341959176242825
2015-01-16,-0.04544697049517554
2015-01-20,-0.011946530434878144
2015-01-21,-0.0060455217361430336
2015-01-22,0.037745916602121676
2015-01-23,-0.009481111066613979
2015-01-26,0.012878553606986864
2015-01-27,0.00945015858849918
2015-01-28,-0.003063834981715474
2015-01-29,0.0017073326727357063
2015-01-30,-0.09578999671521204
2015-02-02,0.04015082184256147
2015-02-03,-0.009061254027450616
2015-02-04,-0.006949544001360719
2015-02-05,0.01289135861463686
2015-02-06,-0.006727253306995751
2015-02-09,0.007138923339250258
2015-02-10,0.013086172568388843
2015-02-11,0.0010763824324915294
2015-02-12,0.025806495718549094
2015-02-13,-0.005939904657895845
2015-02-17,0.012829517094200993
2015-02-18,-0.018913762491511554
2015-02-19,0.0047753882807157755
2015-02-20,0.0
2015-02-23,-0.004752692329463848
2015-02-24,0.0003537399617936643
2015-02-25,-0.0070721625913502395
2015-02-26,0.004807700471817444
2015-02-27,0.01630335218801915
2015-03-02,0.007149082098007797
2015-03-03,-0.013677235522625786
2015-03-04,0.0031595629510074996
2015-03-05,0.01294834372724285
2015-03-06,-0.013819299455781309
2015-03-09,-0.010509694736686614
2015-03-10,0.00654981272598909
2015-03-11,0.0012310885345203637
2015-03-12,0.0010539499906794259
2015-03-13,-0.017722444402244908
2015-03-16,0.0064308791228187
2015-03-17,-0.0026624338919533086
2015-03-18,0.003381428119771046
2015-03-19,0.03440934001340623
2015-03-20,-0.019547314739605692
2015-03-23,-0.014865310765732054
2015-03-24,-0.015089690416976942
2015-03-25,-0.014239382156553959
2015-03-26,-0.002011278084043999
2015-03-27,-0.009893750410614577
2015-03-30,0.01036264894719574
2015-03-31,-0.014835120535354296
2015-04-01,-0.02491169603607646
2015-04-02,0.0057197184498902764
2015-04-06,0.00606634492557756
2015-04-07,-0.009798388180778272
2015-04-08,0.003235052066807409
2015-04-09,0.0
2015-04-10,0.02977996317283238
2015-04-13,-0.008657233611663151
2015-04-14,-0.012448869802014206
2015-04-15,-0.005456272948292207
2015-04-16,-0.001702613536676112
2015-04-17,0.01155960972256942
2015-04-20,0.01554885724521271
2015-04-21,0.035786800851688616
2015-04-22,-0.0037400337215153234
2015-04-23,0.001251335297509204
2015-04-24,0.05659707335545239
2015-04-27,-0.009969586845985368
2015-04-28,0.014678283121895008
2015-04-29,0.012279218382977852
2015-04-30,-0.022266536154747163
2015-05-01,0.005778384631308198
2015-05-04,0.0197701615902659
2015-05-05,-0.013918809839706836
2015-05-06,-0.010082313746327065
2015-05-07,-0.0006790174101333202
2015-05-08,0.014268730555945908
2015-05-11,-0.00602915116180569
2015-05-12,-0.01196291664240301
2015-05-13,0.0018758630882758087
2015-05-14,0.009531938268783291
2015-05-15,-0.000505860618773335
2015-05-18,0.009784106663262016
2015-05-19,-0.010357482886118596
2015-05-20,-0.00033761744086757695
2015-05-21,0.0027017873035128925
2015-05-22,-0.0015156643814244752
2015-05-26,-0.0003373327281975813
2015-05-27,0.007254940135899002
2015-05-28,0.02479061178094799
2015-05-29,-0.008336092410697882
2015-06-01,0.01763645198310182
2015-06-02,0.010204036868980193
2015-06-03,0.016514391720914068
2015-06-04,-0.00962146049953283
2015-06-05,0.0019111153071362796
2015-06-08,-0.014624037055742556
2015-06-09,-0.00661396735458597
2015-06-10,0.015264673575162924
2015-06-11,0.007037725903508818
2015-06-12,0.0009530078488488858
2015-06-15,0.0031736077671642438
2015-06-16,0.016925018572663708
2015-06-17,-0.031109036732288486
2015-06-18,-0.002247541942378417
2015-06-19,0.0175382160229558
2015-06-22,0.0011068895155967873
2015-06-23,-0.00521247549986481
2015-06-24,-0.029533195043994653
2015-06-25,0.007362578056340663
2015-06-26,0.017216199099317597
2015-06-29,-0.015647445721268638
2015-06-30,0.017193796145305695
2015-07-01,0.008132708398599586
2015-07-02,0.0011072396942835017
2015-07-06,-0.012482238965073722
2015-07-07,0.016000000000000014
2015-07-08,-0.01196847750445984
