Date,BIIB
2015-01-05,-0.015408962839600693
2015-01-06,-0.006206558170997023
2015-01-07,0.05555056529790647
2015-01-08,-0.008464472644762355
2015-01-09,-0.022583879120940398
2015-01-12,0.016065899570120612
2015-01-13,0.014086919123942554
2015-01-14,-0.011311420153195195
2015-01-15,-0.025433677755376305
2015-01-16,0.03786629084469073
2015-01-20,0.029851165922882616
2015-01-21,-0.003991445199030053
2015-01-22,-0.022607282368365844
2015-01-23,0.010971313303481
2015-01-26,0.013733123594868779
2015-01-27,-0.012553768243902197
2015-01-28,-0.018748838184959205
2015-01-29,0.00589443410043522
2015-01-30,0.10165606132231964
2015-02-02,0.0021584857898704346
2015-02-03,0.009974396534455199
2015-02-04,-0.007032469542855413
2015-02-05,0.027280664657753917
2015-02-06,0.000522639813365755
2015-02-09,-0.012736306261660446
2015-02-10,-0.0044093932132376334
2015-02-11,-0.012983081060457424
2015-02-12,0.005410218850160353
2015-02-13,-0.001147590488035366
2015-02-17,0.015957718280041666
2015-02-18,0.008067129314506927
2015-02-19,0.013985879381309907
2015-02-20,0.0032453390971560747
2015-02-23,0.001298857481073501
2015-02-24,-0.009031210644419252
2015-02-25,0.010002686276383788
2015-02-26,0.0028366108846873406
2015-02-27,-0.0012436229164460855
2015-03-02,0.015137118246209669
2015-03-03,-0.007215180591997994
2015-03-04,0.0032461937308367883
2015-03-05,0.027720716522335875
2015-03-06,-0.0187495142111348
2015-03-09,-0.005076251927306763
2015-03-10,-0.0031527460898780335
2015-03-11,-0.014703106412330968
2015-03-12,-0.0011515785449850435
2015-03-13,0.014007436095307302
2015-03-16,0.01928148325394541
2015-03-17,0.01139273642249572
2015-03-18,0.004247624094935842
2015-03-19,0.013366675200625178
2015-03-20,0.09761332338436102
2015-03-23,-0.025736374883927327
2015-03-24,-0.023763869644345514
2015-03-25,-0.046563996753222425
2015-03-26,-0.006255385808417779
2015-03-27,0.002191505507792124
2015-03-30,0.004070998255002456
2015-03-31,-0.021732090702298867
2015-04-01,-0.01996493195990734
2015-04-02,-0.0033106863663764363
2015-04-06,0.0023761298140991816
2015-04-07,0.01129597687213213
2015-04-08,0.01738857441543873
2015-04-09,0.002985752245125539
2015-04-10,-0.0022970981297888438
2015-04-13,-0.005380027200185489
2015-04-14,0.0004960836638394639
2015-04-15,0.017446901345880228
