Date,DIS
2015-01-05,-0.014613411755870387
2015-01-06,-0.005304061955076045
2015-01-07,0.010229596235804106
2015-01-08,0.010341713880384962
2015-01-09,0.004904256567093146
2015-01-12,0.0022281056369137797
2015-01-13,0.0077280376384349925
2015-01-14,-0.010084881604124685
2015-01-15,0.001273220981473644
2015-01-16,0.008797216800634944
2015-01-20,-0.0046228717695639965
2015-01-21,-0.006016386173125499
2015-01-22,0.010406835727519992
2015-01-23,-0.0045192819284438634
2015-01-26,0.0026394954127553216
2015-01-27,-0.01052983674283825
2015-01-28,-0.013834108138684353
2015-01-29,0.00593505947318107
2015-01-30,-0.024243677365431537
2015-02-02,0.010664025508827057
2015-02-03,0.023604976343240658
2015-02-04,0.07630164946086637
2015-02-05,0.013428075601970457
2015-02-06,-0.006040627127677278
2015-02-09,-0.0028426008680350057
2015-02-10,0.001867691521825865
2015-02-11,-0.0004903451409205006
2015-02-12,0.016786037073246662
2015-02-13,0.0056960743824894244
2015-02-17,-0.00048023329863078335
2015-02-18,-0.002496958233439872
2015-02-19,0.0002887917008125296
2015-02-20,0.006352944965095864
2015-02-23,0.00420848029196752
2015-02-24,-0.003047633753802237
2015-02-25,0.008598214156509298
2015-02-26,-0.009567086554545745
2015-02-27,-0.004590608462765822
2015-03-02,0.017390506123491356
2015-03-03,0.0043439288152125055
2015-03-04,-0.007334192831472519
2015-03-05,-0.0051150751991340115
2015-03-06,-0.011520528094396187
2015-03-09,0.013870227900667054
2015-03-10,-0.02061567204744219
2015-03-11,-0.0019399273209418366
2015-03-12,0.041597805457431525
2015-03-13,-0.006811750313943765
2015-03-16,0.008737418478621972
2015-03-17,-0.003818596179714029
2015-03-18,0.009442679013728084
2015-03-19,-0.005556972554137785
2015-03-20,0.009872231856881797
2015-03-23,-0.0019366471090790371
2015-03-24,-0.010256799895966284
2015-03-25,-0.0196994630265801
2015-03-26,0.002285646257225604
2015-03-27,0.0022807503123665196
2015-03-30,0.006067424471414062
2015-03-31,-0.011590727449410254
2015-04-01,0.005243686874898179
2015-04-02,0.005310971271486942
2015-04-06,-0.003490615834326638
2015-04-07,-0.0018933583312414903
2015-04-08,0.008821121117857711
2015-04-09,0.0038546229223068718
2015-04-10,0.001685914232961938
2015-04-13,-0.004113962712252173
2015-04-14,0.0014083448338264581
2015-04-15,0.0030003060230994194
2015-04-16,0.010469114342877228
2015-04-17,-0.01304359909841002
2015-04-20,0.014340664616737442
2015-04-21,-0.004989898466340237
2015-04-22,0.0024147153649336506
2015-04-23,0.00982017648961886
2015-04-24,0.004862415567792544
2015-04-27,0.005751743918604779
2015-04-28,-0.0021785845523797365
2015-04-29,-0.0010007768930019312
2015-04-30,-0.009926165565237288
2015-05-01,0.016556295953243927
2015-05-04,0.004614590814915331
2015-05-05,-0.0019815435216621324
2015-05-06,-0.009836587123129292
2015-05-07,-0.00419244722349732
2015-05-08,0.007779601469664721
2015-05-11,-0.01371369487482399
2015-05-12,0.005893266447648315
2015-05-13,-0.0004575640223946076
2015-05-14,0.006777044496710571
2015-05-15,0.003365901929609727
2015-05-18,0.0002719302011611191
2015-05-19,0.0020845583146420488
2015-05-20,-0.003256166520131498
2015-05-21,0.0017241401445755589
2015-05-22,-0.001177529341544803
2015-05-26,-0.007437166540087192
2015-05-27,0.00849805879242238
2015-05-28,0.0014495002643681865
2015-05-29,-0.0014474022544176401
2015-06-01,0.005345574194536962
2015-06-02,-0.0018926393325765511
2015-06-03,0.0037923061258076096
2015-06-04,-0.007825685045953157
2015-06-05,0.0
2015-06-08,-0.009156743993485095
